[29/03/2025 13:37:15] Log: DragSickle initialized with: Harvest Radius=0.5, Layer=8, Expected layer mask=8
[30/03/2025 23:26:41] Log: DragSickle initialized with: Harvest Radius=0.5, Layer=8, Expected layer mask=8
[30/03/2025 23:26:46] Log: Started dragging sickle
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
[30/03/2025 23:26:46] Log: Current swipe speed: 0, Required: 50, Can Harvest: True
